start,end,min_sleep,min_awake,num_awake,total_bed,min_REM,min_light,min_deep
2018-09-05 11:13PM,2018-09-06 8:31AM,495,63,54,558,101,330,64
2018-09-05 12:04AM,2018-09-05 7:48AM,399,65,27,464,74,227,98
2018-09-03 11:34PM,2018-09-04 8:15AM,469,52,34,521,106,331,32
2018-09-02 11:24PM,2018-09-03 8:32AM,485,63,41,548,80,322,83
2018-09-02 12:25AM,2018-09-02 8:43AM,456,42,35,498,130,232,94
2018-08-31 11:59PM,2018-09-01 8:15AM,430,66,33,496,68,295,67
2018-08-30 11:21PM,2018-08-31 7:45AM,449,55,33,504,78,307,64
2018-08-29 10:16PM,2018-08-30 7:23AM,474,73,38,547,112,297,65
2018-08-28 10:56PM,2018-08-29 7:33AM,447,70,37,517,73,310,64
2018-08-28 12:09AM,2018-08-28 8:05AM,404,72,34,476,93,260,51
2018-08-26 11:38PM,2018-08-27 9:04AM,503,63,45,566,131,288,84
2018-08-26 12:52AM,2018-08-26 8:27AM,399,56,35,455,99,232,68
2018-08-25 1:55AM,2018-08-25 7:59AM,327,37,21,364,56,250,21
2018-08-23 11:42PM,2018-08-24 6:55AM,374,59,30,433,85,206,83
2018-08-22 10:12PM,2018-08-23 7:51AM,495,84,32,579,37,379,79
2018-08-22 12:39AM,2018-08-22 7:02AM,325,58,22,383,37,226,62
2018-08-20 11:39PM,2018-08-21 8:00AM,451,50,37,501,108,282,61
2018-08-19 11:48PM,2018-08-20 7:08AM,378,62,27,440,63,237,78
2018-08-18 10:53PM,2018-08-19 7:45AM,460,72,26,532,79,352,29
2018-08-17 9:49PM,2018-08-18 7:23AM,495,79,40,574,65,358,72
2018-08-16 11:05PM,2018-08-17 7:47AM,462,60,37,522,81,271,110
2018-08-15 11:04PM,2018-08-16 7:00AM,416,60,31,476,95,255,66
2018-08-14 11:40PM,2018-08-15 7:55AM,440,55,33,495,81,324,35
2018-08-13 11:53PM,2018-08-14 7:54AM,419,62,27,481,89,275,55
2018-08-12 10:54PM,2018-08-13 7:23AM,452,57,35,509,95,311,46
2018-08-12 12:05AM,2018-08-12 7:27AM,392,50,27,442,72,262,58
2018-08-10 10:30PM,2018-08-11 8:41AM,531,80,42,611,83,393,55
2018-08-09 10:48PM,2018-08-10 8:57AM,545,64,43,609,132,309,104
2018-08-08 11:09PM,2018-08-09 8:25AM,493,63,38,556,103,361,29
2018-08-07 11:24PM,2018-08-08 7:30AM,403,83,30,486,85,225,93
2018-08-06 11:18PM,2018-08-07 8:16AM,470,68,35,538,75,312,83
2018-08-05 10:15PM,2018-08-06 7:44AM,494,75,45,569,127,283,84
2018-08-04 11:47PM,2018-08-05 8:01AM,437,57,44,494,102,273,62
2018-08-03 11:57PM,2018-08-04 7:57AM,420,60,25,480,84,278,58
2018-08-02 11:16PM,2018-08-03 7:37AM,440,61,40,501,122,238,80
2018-08-02 12:09AM,2018-08-02 8:27AM,455,43,39,498,104,309,42
